,ershoufanglianjie,text,xiaoquyu
0,https://bj.lianjia.com/ershoufang/andingmen/,安定门,andingmen
1,https://bj.lianjia.com/ershoufang/anzhen1/,安贞,anzhen1
2,https://bj.lianjia.com/ershoufang/chaoyangmenwai1/,朝阳门外,chaoyangmenwai1
3,https://bj.lianjia.com/ershoufang/chaoyangmennei1/,朝阳门内,chaoyangmennei1
4,https://bj.lianjia.com/ershoufang/chongwenmen/,崇文门,chongwenmen
5,https://bj.lianjia.com/ershoufang/dongdan/,东单,dongdan
6,https://bj.lianjia.com/ershoufang/dongzhimen/,东直门,dongzhimen
7,https://bj.lianjia.com/ershoufang/dianmen/,地安门,dianmen
8,https://bj.lianjia.com/ershoufang/donghuashi/,东花市,donghuashi
9,https://bj.lianjia.com/ershoufang/dongsi1/,东四,dongsi1
10,https://bj.lianjia.com/ershoufang/dengshikou/,灯市口,dengshikou
11,https://bj.lianjia.com/ershoufang/guangqumen/,广渠门,guangqumen
12,https://bj.lianjia.com/ershoufang/gongti/,工体,gongti
13,https://bj.lianjia.com/ershoufang/hepingli/,和平里,hepingli
14,https://bj.lianjia.com/ershoufang/jiaodaokou/,交道口,jiaodaokou
15,https://bj.lianjia.com/ershoufang/jianguomenwai/,建国门外,jianguomenwai
16,https://bj.lianjia.com/ershoufang/jianguomennei/,建国门内,jianguomennei
17,https://bj.lianjia.com/ershoufang/jinbaojie/,金宝街,jinbaojie
18,https://bj.lianjia.com/ershoufang/liupukang/,六铺炕,liupukang
19,https://bj.lianjia.com/ershoufang/puhuangyu/,蒲黄榆,puhuangyu
20,https://bj.lianjia.com/ershoufang/qianmen/,前门,qianmen
21,https://bj.lianjia.com/ershoufang/taoranting1/,陶然亭,taoranting1
22,https://bj.lianjia.com/ershoufang/tiantan/,天坛,tiantan
23,https://bj.lianjia.com/ershoufang/xiluoyuan/,西罗园,xiluoyuan
24,https://bj.lianjia.com/ershoufang/xidan/,西单,xidan
25,https://bj.lianjia.com/ershoufang/yongdingmen/,永定门,yongdingmen
26,https://bj.lianjia.com/ershoufang/yangqiao1/,洋桥,yangqiao1
27,https://bj.lianjia.com/ershoufang/zuoanmen1/,左安门,zuoanmen1
28,https://bj.lianjia.com/ershoufang/baizhifang1/,白纸坊,baizhifang1
29,https://bj.lianjia.com/ershoufang/caihuying/,菜户营,caihuying
30,https://bj.lianjia.com/ershoufang/changchunjie/,长椿街,changchunjie
31,https://bj.lianjia.com/ershoufang/chongwenmen/,崇文门,chongwenmen
32,https://bj.lianjia.com/ershoufang/chegongzhuang1/,车公庄,chegongzhuang1
33,https://bj.lianjia.com/ershoufang/dianmen/,地安门,dianmen
34,https://bj.lianjia.com/ershoufang/deshengmen/,德胜门,deshengmen
35,https://bj.lianjia.com/ershoufang/fuchengmen/,阜成门,fuchengmen
36,https://bj.lianjia.com/ershoufang/guanganmen/,广安门,guanganmen
37,https://bj.lianjia.com/ershoufang/guanyuan/,官园,guanyuan
38,https://bj.lianjia.com/ershoufang/jinrongjie/,金融街,jinrongjie
39,https://bj.lianjia.com/ershoufang/liupukang/,六铺炕,liupukang
40,https://bj.lianjia.com/ershoufang/madian1/,马甸,madian1
41,https://bj.lianjia.com/ershoufang/maliandao1/,马连道,maliandao1
42,https://bj.lianjia.com/ershoufang/muxidi1/,木樨地,muxidi1
43,https://bj.lianjia.com/ershoufang/niujie/,牛街,niujie
44,https://bj.lianjia.com/ershoufang/taoranting1/,陶然亭,taoranting1
45,https://bj.lianjia.com/ershoufang/taipingqiao1/,太平桥,taipingqiao1
46,https://bj.lianjia.com/ershoufang/tianningsi1/,天宁寺,tianningsi1
47,https://bj.lianjia.com/ershoufang/xisi1/,西四,xisi1
48,https://bj.lianjia.com/ershoufang/xuanwumen12/,宣武门,xuanwumen12
49,https://bj.lianjia.com/ershoufang/xizhimen1/,西直门,xizhimen1
50,https://bj.lianjia.com/ershoufang/xinjiekou2/,新街口,xinjiekou2
51,https://bj.lianjia.com/ershoufang/xidan/,西单,xidan
52,https://bj.lianjia.com/ershoufang/yuetan/,月坛,yuetan
53,https://bj.lianjia.com/ershoufang/youanmennei11/,右安门内,youanmennei11
54,https://bj.lianjia.com/ershoufang/andingmen/,安定门,andingmen
55,https://bj.lianjia.com/ershoufang/anzhen1/,安贞,anzhen1
56,https://bj.lianjia.com/ershoufang/aolinpikegongyuan11/,奥林匹克公园,aolinpikegongyuan11
57,https://bj.lianjia.com/ershoufang/beiyuan2/,北苑,beiyuan2
58,https://bj.lianjia.com/ershoufang/beigongda/,北工大,beigongda
59,https://bj.lianjia.com/ershoufang/baiziwan/,百子湾,baiziwan
60,https://bj.lianjia.com/ershoufang/chengshousi1/,成寿寺,chengshousi1
61,https://bj.lianjia.com/ershoufang/changying/,常营,changying
62,https://bj.lianjia.com/ershoufang/chaoyangmenwai1/,朝阳门外,chaoyangmenwai1
63,https://bj.lianjia.com/ershoufang/cbd/,CBD,cbd
64,https://bj.lianjia.com/ershoufang/chaoqing/,朝青,chaoqing
65,https://bj.lianjia.com/ershoufang/chaoyanggongyuan/,朝阳公园,chaoyanggongyuan
66,https://bj.lianjia.com/ershoufang/dongzhimen/,东直门,dongzhimen
67,https://bj.lianjia.com/ershoufang/dongba/,东坝,dongba
68,https://bj.lianjia.com/ershoufang/dawanglu/,大望路,dawanglu
69,https://bj.lianjia.com/ershoufang/dongdaqiao/,东大桥,dongdaqiao
70,https://bj.lianjia.com/ershoufang/dashanzi/,大山子,dashanzi
71,https://bj.lianjia.com/ershoufang/dougezhuang/,豆各庄,dougezhuang
72,https://bj.lianjia.com/ershoufang/dingfuzhuang/,定福庄,dingfuzhuang
73,https://bj.lianjia.com/ershoufang/fangzhuang1/,方庄,fangzhuang1
74,https://bj.lianjia.com/ershoufang/fatou/,垡头,fatou
75,https://bj.lianjia.com/ershoufang/guangqumen/,广渠门,guangqumen
76,https://bj.lianjia.com/ershoufang/gongti/,工体,gongti
77,https://bj.lianjia.com/ershoufang/gaobeidian/,高碑店,gaobeidian
78,https://bj.lianjia.com/ershoufang/guozhan1/,国展,guozhan1
79,https://bj.lianjia.com/ershoufang/ganluyuan/,甘露园,ganluyuan
80,https://bj.lianjia.com/ershoufang/guanzhuang/,管庄,guanzhuang
81,https://bj.lianjia.com/ershoufang/hepingli/,和平里,hepingli
82,https://bj.lianjia.com/ershoufang/huanlegu/,欢乐谷,huanlegu
83,https://bj.lianjia.com/ershoufang/huixinxijie/,惠新西街,huixinxijie
84,https://bj.lianjia.com/ershoufang/hongmiao/,红庙,hongmiao
85,https://bj.lianjia.com/ershoufang/huaweiqiao/,华威桥,huaweiqiao
86,https://bj.lianjia.com/ershoufang/jianxiangqiao1/,健翔桥,jianxiangqiao1
87,https://bj.lianjia.com/ershoufang/jiuxianqiao/,酒仙桥,jiuxianqiao
88,https://bj.lianjia.com/ershoufang/jinsong/,劲松,jinsong
89,https://bj.lianjia.com/ershoufang/jianguomenwai/,建国门外,jianguomenwai
90,https://bj.lianjia.com/ershoufang/lishuiqiao1/,立水桥,lishuiqiao1
91,https://bj.lianjia.com/ershoufang/madian1/,马甸,madian1
92,https://bj.lianjia.com/ershoufang/nongzhanguan/,农展馆,nongzhanguan
93,https://bj.lianjia.com/ershoufang/nanshatan1/,南沙滩,nanshatan1
94,https://bj.lianjia.com/ershoufang/panjiayuan1/,潘家园,panjiayuan1
95,https://bj.lianjia.com/ershoufang/sanyuanqiao/,三元桥,sanyuanqiao
96,https://bj.lianjia.com/ershoufang/shaoyaoju/,芍药居,shaoyaoju
97,https://bj.lianjia.com/ershoufang/shifoying/,石佛营,shifoying
98,https://bj.lianjia.com/ershoufang/shilibao/,十里堡,shilibao
99,https://bj.lianjia.com/ershoufang/shoudoujichang1/,首都机场,shoudoujichang1
100,https://bj.lianjia.com/ershoufang/shuangjing/,双井,shuangjing
101,https://bj.lianjia.com/ershoufang/shilihe/,十里河,shilihe
102,https://bj.lianjia.com/ershoufang/shibalidian1/,十八里店,shibalidian1
103,https://bj.lianjia.com/ershoufang/shuangqiao/,双桥,shuangqiao
104,https://bj.lianjia.com/ershoufang/sanlitun/,三里屯,sanlitun
105,https://bj.lianjia.com/ershoufang/sihui/,四惠,sihui
106,https://bj.lianjia.com/ershoufang/tongzhoubeiyuan/,通州北苑,tongzhoubeiyuan
107,https://bj.lianjia.com/ershoufang/tuanjiehu/,团结湖,tuanjiehu
108,https://bj.lianjia.com/ershoufang/taiyanggong/,太阳宫,taiyanggong
109,https://bj.lianjia.com/ershoufang/tianshuiyuan/,甜水园,tianshuiyuan
110,https://bj.lianjia.com/ershoufang/wangjing/,望京,wangjing
111,https://bj.lianjia.com/ershoufang/xibahe/,西坝河,xibahe
112,https://bj.lianjia.com/ershoufang/yayuncun/,亚运村,yayuncun
113,https://bj.lianjia.com/ershoufang/yayuncunxiaoying/,亚运村小营,yayuncunxiaoying
114,https://bj.lianjia.com/ershoufang/yansha1/,燕莎,yansha1
115,https://bj.lianjia.com/ershoufang/zhongyangbieshuqu1/,中央别墅区,zhongyangbieshuqu1
116,https://bj.lianjia.com/ershoufang/zhaoyangqita/,朝阳其它,zhaoyangqita
117,https://bj.lianjia.com/ershoufang/aolinpikegongyuan11/,奥林匹克公园,aolinpikegongyuan11
118,https://bj.lianjia.com/ershoufang/anningzhuang1/,安宁庄,anningzhuang1
119,https://bj.lianjia.com/ershoufang/baishiqiao1/,白石桥,baishiqiao1
120,https://bj.lianjia.com/ershoufang/beitaipingzhuang/,北太平庄,beitaipingzhuang
121,https://bj.lianjia.com/ershoufang/changpingqita1/,昌平其它,changpingqita1
122,https://bj.lianjia.com/ershoufang/changwa/,厂洼,changwa
123,https://bj.lianjia.com/ershoufang/dinghuisi/,定慧寺,dinghuisi
124,https://bj.lianjia.com/ershoufang/erlizhuang/,二里庄,erlizhuang
125,https://bj.lianjia.com/ershoufang/gongzhufen/,公主坟,gongzhufen
126,https://bj.lianjia.com/ershoufang/ganjiakou/,甘家口,ganjiakou
127,https://bj.lianjia.com/ershoufang/haidianqita1/,海淀其它,haidianqita1
128,https://bj.lianjia.com/ershoufang/haidianbeibuxinqu1/,海淀北部新区,haidianbeibuxinqu1
129,https://bj.lianjia.com/ershoufang/junbo1/,军博,junbo1
130,https://bj.lianjia.com/ershoufang/liuliqiao1/,六里桥,liuliqiao1
131,https://bj.lianjia.com/ershoufang/mudanyuan/,牡丹园,mudanyuan
132,https://bj.lianjia.com/ershoufang/madian1/,马甸,madian1
133,https://bj.lianjia.com/ershoufang/malianwa/,马连洼,malianwa
134,https://bj.lianjia.com/ershoufang/qinghe11/,清河,qinghe11
135,https://bj.lianjia.com/ershoufang/suzhouqiao/,苏州桥,suzhouqiao
136,https://bj.lianjia.com/ershoufang/shangdi1/,上地,shangdi1
137,https://bj.lianjia.com/ershoufang/shijicheng/,世纪城,shijicheng
138,https://bj.lianjia.com/ershoufang/sijiqing/,四季青,sijiqing
139,https://bj.lianjia.com/ershoufang/shuangyushu/,双榆树,shuangyushu
140,https://bj.lianjia.com/ershoufang/tiancun1/,田村,tiancun1
141,https://bj.lianjia.com/ershoufang/wudaokou/,五道口,wudaokou
142,https://bj.lianjia.com/ershoufang/weigongcun/,魏公村,weigongcun
143,https://bj.lianjia.com/ershoufang/wukesong1/,五棵松,wukesong1
144,https://bj.lianjia.com/ershoufang/wanliu/,万柳,wanliu
145,https://bj.lianjia.com/ershoufang/wanshoulu1/,万寿路,wanshoulu1
146,https://bj.lianjia.com/ershoufang/xishan21/,西山,xishan21
147,https://bj.lianjia.com/ershoufang/xisanqi1/,西三旗,xisanqi1
148,https://bj.lianjia.com/ershoufang/xibeiwang/,西北旺,xibeiwang
149,https://bj.lianjia.com/ershoufang/xueyuanlu1/,学院路,xueyuanlu1
150,https://bj.lianjia.com/ershoufang/xiaoxitian1/,小西天,xiaoxitian1
151,https://bj.lianjia.com/ershoufang/xizhimen1/,西直门,xizhimen1
152,https://bj.lianjia.com/ershoufang/xinjiekou2/,新街口,xinjiekou2
153,https://bj.lianjia.com/ershoufang/xierqi1/,西二旗,xierqi1
154,https://bj.lianjia.com/ershoufang/yangzhuang1/,杨庄,yangzhuang1
155,https://bj.lianjia.com/ershoufang/yuquanlu11/,玉泉路,yuquanlu11
156,https://bj.lianjia.com/ershoufang/yuanmingyuan/,圆明园,yuanmingyuan
157,https://bj.lianjia.com/ershoufang/yiheyuan/,颐和园,yiheyuan
