,ershoufanglianjie,text,xiaoquyu
0,https://cd.lianjia.com/ershoufang/chuanshi/,川师,chuanshi
1,https://cd.lianjia.com/ershoufang/dongkezhan/,东客站,dongkezhan
2,https://cd.lianjia.com/ershoufang/dongdalu/,东大路,dongdalu
3,https://cd.lianjia.com/ershoufang/donghu/,东湖,donghu
4,https://cd.lianjia.com/ershoufang/dongguangxiaoqu/,东光小区,dongguangxiaoqu
5,https://cd.lianjia.com/ershoufang/hongxinglu/,红星路,hongxinglu
6,https://cd.lianjia.com/ershoufang/hejiangting/,合江亭,hejiangting
7,https://cd.lianjia.com/ershoufang/jiuyanqiao/,九眼桥,jiuyanqiao
8,https://cd.lianjia.com/ershoufang/jingjusi/,静居寺,jingjusi
9,https://cd.lianjia.com/ershoufang/lianhua2/,莲花,lianhua2
10,https://cd.lianjia.com/ershoufang/liulichang/,琉璃场,liulichang
11,https://cd.lianjia.com/ershoufang/langudi/,蓝谷地,langudi
12,https://cd.lianjia.com/ershoufang/panchenggang/,攀成钢,panchenggang
13,https://cd.lianjia.com/ershoufang/shahebao/,沙河堡,shahebao
14,https://cd.lianjia.com/ershoufang/shuinianhe/,水碾河,shuinianhe
15,https://cd.lianjia.com/ershoufang/sanshengxiang/,三圣乡,sanshengxiang
16,https://cd.lianjia.com/ershoufang/sanguantang/,三官堂,sanguantang
17,https://cd.lianjia.com/ershoufang/yanshikou/,盐市口,yanshikou
18,https://cd.lianjia.com/ershoufang/zhuojincheng/,卓锦城,zhuojincheng
19,https://cd.lianjia.com/ershoufang/beisen/,贝森,beisen
20,https://cd.lianjia.com/ershoufang/babaojie/,八宝街,babaojie
21,https://cd.lianjia.com/ershoufang/caotang/,草堂,caotang
22,https://cd.lianjia.com/ershoufang/caoshijie/,草市街,caoshijie
23,https://cd.lianjia.com/ershoufang/funanxinqu/,府南新区,funanxinqu
24,https://cd.lianjia.com/ershoufang/guanghuapaoxiao/,光华泡小,guanghuapaoxiao
25,https://cd.lianjia.com/ershoufang/huanhuaxi/,浣花溪,huanhuaxi
26,https://cd.lianjia.com/ershoufang/jinsha/,金沙,jinsha
27,https://cd.lianjia.com/ershoufang/jiaolonggang/,蛟龙港,jiaolonggang
28,https://cd.lianjia.com/ershoufang/kuanzhaixiangzi/,宽窄巷子,kuanzhaixiangzi
29,https://cd.lianjia.com/ershoufang/renmingongyuan/,人民公园,renmingongyuan
30,https://cd.lianjia.com/ershoufang/taishenglu/,太升路,taishenglu
31,https://cd.lianjia.com/ershoufang/waiguanghua/,外光华,waiguanghua
32,https://cd.lianjia.com/ershoufang/waijinsha/,外金沙,waijinsha
33,https://cd.lianjia.com/ershoufang/wanjiawan/,万家湾,wanjiawan
34,https://cd.lianjia.com/ershoufang/xinancaida/,西南财大,xinancaida
35,https://cd.lianjia.com/ershoufang/youpindao/,优品道,youpindao
36,https://cd.lianjia.com/ershoufang/chuanda/,川大,chuanda
37,https://cd.lianjia.com/ershoufang/chuanyin/,川音,chuanyin
38,https://cd.lianjia.com/ershoufang/caojinlijiao/,草金立交,caojinlijiao
39,https://cd.lianjia.com/ershoufang/cuqiao/,簇桥,cuqiao
40,https://cd.lianjia.com/ershoufang/guangfuqiao/,广福桥,guangfuqiao
41,https://cd.lianjia.com/ershoufang/gaoshengqiao/,高升桥,gaoshengqiao
42,https://cd.lianjia.com/ershoufang/huaxi/,华西,huaxi
43,https://cd.lianjia.com/ershoufang/hangkonglu/,航空路,hangkonglu
44,https://cd.lianjia.com/ershoufang/huochenanzhan/,火车南站,huochenanzhan
