,text,ershoufanglianjie,xiaoquyu
0,白云山风景区,https://gz.lianjia.com/ershoufang/baiyunshanfengjingqu/,baiyunshanfengjingqu
1,岑村,https://gz.lianjia.com/ershoufang/cencun/,cencun
2,车陂,https://gz.lianjia.com/ershoufang/chebei/,chebei
3,长兴,https://gz.lianjia.com/ershoufang/changxing1/,changxing1
4,东圃,https://gz.lianjia.com/ershoufang/dongpu/,dongpu
5,东莞庄,https://gz.lianjia.com/ershoufang/dongguanzhuang/,dongguanzhuang
6,东站,https://gz.lianjia.com/ershoufang/dongzhan/,dongzhan
7,高唐,https://gz.lianjia.com/ershoufang/gaotang/,gaotang
8,华景新城,https://gz.lianjia.com/ershoufang/huajingxincheng/,huajingxincheng
9,黄村,https://gz.lianjia.com/ershoufang/huangcun/,huangcun
10,汇景新城,https://gz.lianjia.com/ershoufang/huijingxincheng/,huijingxincheng
11,科学城,https://gz.lianjia.com/ershoufang/kexuecheng/,kexuecheng
12,龙洞,https://gz.lianjia.com/ershoufang/longdong/,longdong
13,龙口东,https://gz.lianjia.com/ershoufang/longkoudong/,longkoudong
14,龙口西,https://gz.lianjia.com/ershoufang/longkouxi/,longkouxi
15,石牌,https://gz.lianjia.com/ershoufang/shipai1/,shipai1
16,水荫,https://gz.lianjia.com/ershoufang/shuiyin/,shuiyin
17,沙太北,https://gz.lianjia.com/ershoufang/shataibei/,shataibei
18,沙太南,https://gz.lianjia.com/ershoufang/shatainan/,shatainan
19,沙河,https://gz.lianjia.com/ershoufang/shahe1/,shahe1
20,天河北,https://gz.lianjia.com/ershoufang/tianhebei/,tianhebei
21,天河公园,https://gz.lianjia.com/ershoufang/tianhegongyuan/,tianhegongyuan
22,同和,https://gz.lianjia.com/ershoufang/tonghe1/,tonghe1
23,棠下,https://gz.lianjia.com/ershoufang/tangxia1/,tangxia1
24,天河南,https://gz.lianjia.com/ershoufang/tianhenan/,tianhenan
25,体育中心,https://gz.lianjia.com/ershoufang/tiyuzhongxin/,tiyuzhongxin
26,天润路,https://gz.lianjia.com/ershoufang/tianrunlu/,tianrunlu
27,五山,https://gz.lianjia.com/ershoufang/wushan/,wushan
28,员村,https://gz.lianjia.com/ershoufang/yuancun/,yuancun
29,粤垦,https://gz.lianjia.com/ershoufang/yueken/,yueken
30,珠江新城东,https://gz.lianjia.com/ershoufang/zhujiangxinchengdong/,zhujiangxinchengdong
31,珠江新城西,https://gz.lianjia.com/ershoufang/zhujiangxinchengxi/,zhujiangxinchengxi
32,珠江新城中,https://gz.lianjia.com/ershoufang/zhujiangxinchengzhong/,zhujiangxinchengzhong
33,白云山风景区,https://gz.lianjia.com/ershoufang/baiyunshanfengjingqu/,baiyunshanfengjingqu
34,北京路,https://gz.lianjia.com/ershoufang/beijinglu/,beijinglu
35,东风西,https://gz.lianjia.com/ershoufang/dongfengxi/,dongfengxi
36,东风东,https://gz.lianjia.com/ershoufang/dongfengdong/,dongfengdong
37,东湖,https://gz.lianjia.com/ershoufang/donghu1/,donghu1
38,东川路,https://gz.lianjia.com/ershoufang/dongchuanlu/,dongchuanlu
39,东山口,https://gz.lianjia.com/ershoufang/dongshankou/,dongshankou
40,二沙岛,https://gz.lianjia.com/ershoufang/ershadao/,ershadao
41,广园路,https://gz.lianjia.com/ershoufang/guangyuanlu/,guangyuanlu
42,桂花岗,https://gz.lianjia.com/ershoufang/guihuagang/,guihuagang
43,环市东,https://gz.lianjia.com/ershoufang/huanshidong/,huanshidong
44,海珠广场,https://gz.lianjia.com/ershoufang/haizhuguangchang/,haizhuguangchang
45,黄花岗,https://gz.lianjia.com/ershoufang/huanghuagang/,huanghuagang
46,机场路,https://gz.lianjia.com/ershoufang/jichanglu/,jichanglu
47,解放北,https://gz.lianjia.com/ershoufang/jiefangbei/,jiefangbei
48,建设路,https://gz.lianjia.com/ershoufang/jianshelu1/,jianshelu1
49,解放南,https://gz.lianjia.com/ershoufang/jiefangnan/,jiefangnan
50,麓景,https://gz.lianjia.com/ershoufang/lujing/,lujing
51,流花站前,https://gz.lianjia.com/ershoufang/liuhuazhanqian/,liuhuazhanqian
52,农讲所,https://gz.lianjia.com/ershoufang/nongjiangsuo/,nongjiangsuo
53,盘福,https://gz.lianjia.com/ershoufang/panfu/,panfu
54,人民路,https://gz.lianjia.com/ershoufang/renminlu/,renminlu
55,人民北,https://gz.lianjia.com/ershoufang/renminbei1/,renminbei1
56,三元里,https://gz.lianjia.com/ershoufang/sanyuanli/,sanyuanli
57,水荫,https://gz.lianjia.com/ershoufang/shuiyin/,shuiyin
58,沙河,https://gz.lianjia.com/ershoufang/shahe1/,shahe1
59,同德围,https://gz.lianjia.com/ershoufang/tongdewei/,tongdewei
60,淘金,https://gz.lianjia.com/ershoufang/taojin/,taojin
61,五羊新城,https://gz.lianjia.com/ershoufang/wuyangxincheng/,wuyangxincheng
62,小北,https://gz.lianjia.com/ershoufang/xiaobei/,xiaobei
63,西门口,https://gz.lianjia.com/ershoufang/ximenkou/,ximenkou
64,西华路,https://gz.lianjia.com/ershoufang/xihualu/,xihualu
65,杨箕,https://gz.lianjia.com/ershoufang/yangji/,yangji
66,越秀南,https://gz.lianjia.com/ershoufang/yuexiunan/,yuexiunan
67,珠江新城西,https://gz.lianjia.com/ershoufang/zhujiangxinchengxi/,zhujiangxinchengxi
68,陈家祠,https://gz.lianjia.com/ershoufang/chenjiaci/,chenjiaci
69,茶滘,https://gz.lianjia.com/ershoufang/chajiao/,chajiao
70,大坦沙,https://gz.lianjia.com/ershoufang/datansha/,datansha
71,东风西,https://gz.lianjia.com/ershoufang/dongfengxi/,dongfengxi
72,东塱,https://gz.lianjia.com/ershoufang/donglang/,donglang
73,汾水,https://gz.lianjia.com/ershoufang/fenshui/,fenshui
74,芳村大道,https://gz.lianjia.com/ershoufang/fangcundadao/,fangcundadao
75,黄沙,https://gz.lianjia.com/ershoufang/huangsha/,huangsha
76,鹤洞,https://gz.lianjia.com/ershoufang/hedong1/,hedong1
77,花地大道,https://gz.lianjia.com/ershoufang/huadidadao/,huadidadao
78,滘口,https://gz.lianjia.com/ershoufang/jiaokou1/,jiaokou1
79,坑口,https://gz.lianjia.com/ershoufang/kengkou/,kengkou
80,龙溪,https://gz.lianjia.com/ershoufang/longxi1/,longxi1
81,流花站前,https://gz.lianjia.com/ershoufang/liuhuazhanqian/,liuhuazhanqian
82,荔湾路,https://gz.lianjia.com/ershoufang/liwanlu/,liwanlu
83,南岸路,https://gz.lianjia.com/ershoufang/nananlu/,nananlu
84,人民路,https://gz.lianjia.com/ershoufang/renminlu/,renminlu
85,人民北,https://gz.lianjia.com/ershoufang/renminbei1/,renminbei1
86,三元里,https://gz.lianjia.com/ershoufang/sanyuanli/,sanyuanli
87,西关,https://gz.lianjia.com/ershoufang/xiguan/,xiguan
88,西村,https://gz.lianjia.com/ershoufang/xicun/,xicun
89,西场,https://gz.lianjia.com/ershoufang/xichang/,xichang
90,西华路,https://gz.lianjia.com/ershoufang/xihualu/,xihualu
91,中山八,https://gz.lianjia.com/ershoufang/zhongshanba1/,zhongshanba1
92,宝岗,https://gz.lianjia.com/ershoufang/baogang/,baogang
93,滨江中,https://gz.lianjia.com/ershoufang/binjiangzhong/,binjiangzhong
