,ershoufanglianjie,text,xiaoquyu
0,https://sz.lianjia.com/ershoufang/buxin/,布心,buxin
1,https://sz.lianjia.com/ershoufang/baishida/,百仕达,baishida
2,https://sz.lianjia.com/ershoufang/cuizhu/,翠竹,cuizhu
3,https://sz.lianjia.com/ershoufang/chunfenglu/,春风路,chunfenglu
4,https://sz.lianjia.com/ershoufang/dongmen/,东门,dongmen
5,https://sz.lianjia.com/ershoufang/diwang/,地王,diwang
6,https://sz.lianjia.com/ershoufang/honghu/,洪湖,honghu
7,https://sz.lianjia.com/ershoufang/huangbeiling/,黄贝岭,huangbeiling
8,https://sz.lianjia.com/ershoufang/luohukouan/,罗湖口岸,luohukouan
9,https://sz.lianjia.com/ershoufang/liantang/,莲塘,liantang
10,https://sz.lianjia.com/ershoufang/luoling/,螺岭,luoling
11,https://sz.lianjia.com/ershoufang/qingshuihe/,清水河,qingshuihe
12,https://sz.lianjia.com/ershoufang/sungang/,笋岗,sungang
13,https://sz.lianjia.com/ershoufang/wanxiangcheng/,万象城,wanxiangcheng
14,https://sz.lianjia.com/ershoufang/xinxiu/,新秀,xinxiu
15,https://sz.lianjia.com/ershoufang/yinhu/,银湖,yinhu
16,https://sz.lianjia.com/ershoufang/bagualing/,八卦岭,bagualing
17,https://sz.lianjia.com/ershoufang/baihua/,百花,baihua
18,https://sz.lianjia.com/ershoufang/chegongmiao/,车公庙,chegongmiao
19,https://sz.lianjia.com/ershoufang/chiwei/,赤尾,chiwei
20,https://sz.lianjia.com/ershoufang/futianbaoshuiqu/,福田保税区,futianbaoshuiqu
21,https://sz.lianjia.com/ershoufang/futianzhongxin/,福田中心,futianzhongxin
22,https://sz.lianjia.com/ershoufang/huanggang/,皇岗,huanggang
23,https://sz.lianjia.com/ershoufang/huangmugang/,黄木岗,huangmugang
24,https://sz.lianjia.com/ershoufang/huaqiangbei/,华强北,huaqiangbei
25,https://sz.lianjia.com/ershoufang/huaqiangnan/,华强南,huaqiangnan
26,https://sz.lianjia.com/ershoufang/jingtian/,景田,jingtian
27,https://sz.lianjia.com/ershoufang/lianhua/,莲花,lianhua
28,https://sz.lianjia.com/ershoufang/meilin/,梅林,meilin
29,https://sz.lianjia.com/ershoufang/shixia/,石厦,shixia
30,https://sz.lianjia.com/ershoufang/shangxiasha/,上下沙,shangxiasha
31,https://sz.lianjia.com/ershoufang/shawei/,沙尾,shawei
32,https://sz.lianjia.com/ershoufang/shangbu/,上步,shangbu
33,https://sz.lianjia.com/ershoufang/xiangmihu/,香蜜湖,xiangmihu
34,https://sz.lianjia.com/ershoufang/xinzhou1/,新洲,xinzhou1
35,https://sz.lianjia.com/ershoufang/yuanling/,园岭,yuanling
36,https://sz.lianjia.com/ershoufang/yinhu/,银湖,yinhu
37,https://sz.lianjia.com/ershoufang/zhuzilin/,竹子林,zhuzilin
38,https://sz.lianjia.com/ershoufang/baishizhou/,白石洲,baishizhou
39,https://sz.lianjia.com/ershoufang/daxuecheng3/,大学城,daxuecheng3
40,https://sz.lianjia.com/ershoufang/hongshuwan/,红树湾,hongshuwan
41,https://sz.lianjia.com/ershoufang/houhai/,后海,houhai
42,https://sz.lianjia.com/ershoufang/huaqiaocheng1/,华侨城,huaqiaocheng1
43,https://sz.lianjia.com/ershoufang/kejiyuan/,科技园,kejiyuan
44,https://sz.lianjia.com/ershoufang/nanshanzhongxin/,南山中心,nanshanzhongxin
45,https://sz.lianjia.com/ershoufang/nantou/,南头,nantou
46,https://sz.lianjia.com/ershoufang/qianhai/,前海,qianhai
47,https://sz.lianjia.com/ershoufang/shekou/,蛇口,shekou
48,https://sz.lianjia.com/ershoufang/shenzhenwan/,深圳湾,shenzhenwan
49,https://sz.lianjia.com/ershoufang/xili1/,西丽,xili1
50,https://sz.lianjia.com/ershoufang/meisha/,梅沙,meisha
51,https://sz.lianjia.com/ershoufang/shatoujiao/,沙头角,shatoujiao
52,https://sz.lianjia.com/ershoufang/yantiangang/,盐田港,yantiangang
53,https://sz.lianjia.com/ershoufang/baoanzhongxin/,宝安中心,baoanzhongxin
54,https://sz.lianjia.com/ershoufang/bihai1/,碧海,bihai1
55,https://sz.lianjia.com/ershoufang/fanshen/,翻身,fanshen
56,https://sz.lianjia.com/ershoufang/fuyong/,福永,fuyong
57,https://sz.lianjia.com/ershoufang/guanlan/,观澜,guanlan
58,https://sz.lianjia.com/ershoufang/songgang/,松岗,songgang
59,https://sz.lianjia.com/ershoufang/shajing/,沙井,shajing
60,https://sz.lianjia.com/ershoufang/shiyan/,石岩,shiyan
61,https://sz.lianjia.com/ershoufang/taoyuanju/,桃源居,taoyuanju
62,https://sz.lianjia.com/ershoufang/xinan/,新安,xinan
63,https://sz.lianjia.com/ershoufang/xicheng1/,曦城,xicheng1
64,https://sz.lianjia.com/ershoufang/xixiang/,西乡,xixiang
65,https://sz.lianjia.com/ershoufang/bujiguan/,布吉关,bujiguan
66,https://sz.lianjia.com/ershoufang/bujidafen/,布吉大芬,bujidafen
67,https://sz.lianjia.com/ershoufang/bujishuijing/,布吉水径,bujishuijing
68,https://sz.lianjia.com/ershoufang/bantian/,坂田,bantian
69,https://sz.lianjia.com/ershoufang/bujijie/,布吉街,bujijie
70,https://sz.lianjia.com/ershoufang/bujinanling/,布吉南岭,bujinanling
71,https://sz.lianjia.com/ershoufang/danzhutou/,丹竹头,danzhutou
72,https://sz.lianjia.com/ershoufang/dayunxincheng/,大运新城,dayunxincheng
73,https://sz.lianjia.com/ershoufang/henggang/,横岗,henggang
74,https://sz.lianjia.com/ershoufang/longgangshuanglong/,龙岗双龙,longgangshuanglong
75,https://sz.lianjia.com/ershoufang/longgangzhongxincheng/,龙岗中心城,longgangzhongxincheng
76,https://sz.lianjia.com/ershoufang/longgangbaohe/,龙岗宝荷,longgangbaohe
77,https://sz.lianjia.com/ershoufang/pingdi/,坪地,pingdi
78,https://sz.lianjia.com/ershoufang/pinghu/,平湖,pinghu
79,https://sz.lianjia.com/ershoufang/guanlan/,观澜,guanlan
80,https://sz.lianjia.com/ershoufang/longhuazhongxin/,龙华中心,longhuazhongxin
81,https://sz.lianjia.com/ershoufang/minzhi/,民治,minzhi
82,https://sz.lianjia.com/ershoufang/shangtang/,上塘,shangtang
83,https://sz.lianjia.com/ershoufang/shenzhenbeizhan/,深圳北站,shenzhenbeizhan
84,https://sz.lianjia.com/ershoufang/gongming/,公明,gongming
85,https://sz.lianjia.com/ershoufang/guanlan/,观澜,guanlan
86,https://sz.lianjia.com/ershoufang/pingshan/,坪山,pingshan
87,https://sz.lianjia.com/ershoufang/dapengbandao/,大鹏半岛,dapengbandao
