,ershoufanglianjie,text,xiaoquyu
0,https://xm.lianjia.com/ershoufang/binglang/,槟榔,binglang
1,https://xm.lianjia.com/ershoufang/bindong/,滨东,bindong
2,https://xm.lianjia.com/ershoufang/bailuzhou/,白鹭洲,bailuzhou
3,https://xm.lianjia.com/ershoufang/douxilu/,斗西路,douxilu
4,https://xm.lianjia.com/ershoufang/dongdu/,东渡,dongdu
5,https://xm.lianjia.com/ershoufang/fushan3/,富山,fushan3
6,https://xm.lianjia.com/ershoufang/gongyuanxiaoxuejizhoubian/,公园小学及周边,gongyuanxiaoxuejizhoubian
7,https://xm.lianjia.com/ershoufang/gulangyu/,鼓浪屿,gulangyu
8,https://xm.lianjia.com/ershoufang/guanyinshan/,观音山,guanyinshan
9,https://xm.lianjia.com/ershoufang/hexiangdonglu/,禾祥东路,hexiangdonglu
10,https://xm.lianjia.com/ershoufang/huochezhan4/,火车站,huochezhan4
11,https://xm.lianjia.com/ershoufang/huizhanzhongxin/,会展中心,huizhanzhongxin
12,https://xm.lianjia.com/ershoufang/hexiangxilu/,禾祥西路,hexiangxilu
13,https://xm.lianjia.com/ershoufang/huangcuo/,黄厝,huangcuo
14,https://xm.lianjia.com/ershoufang/hubianshuiku/,湖边水库,hubianshuiku
15,https://xm.lianjia.com/ershoufang/jinshang/,金尚,jinshang
16,https://xm.lianjia.com/ershoufang/jiangtou/,江头,jiangtou
17,https://xm.lianjia.com/ershoufang/jinjiting/,金鸡亭,jinjiting
18,https://xm.lianjia.com/ershoufang/lianban/,莲坂,lianban
19,https://xm.lianjia.com/ershoufang/lianqian/,莲前,lianqian
20,https://xm.lianjia.com/ershoufang/lianhuayicun/,莲花一村,lianhuayicun
21,https://xm.lianjia.com/ershoufang/lundu/,轮渡,lundu
22,https://xm.lianjia.com/ershoufang/lianhua4/,莲花,lianhua4
23,https://xm.lianjia.com/ershoufang/nanshanlu/,南山路,nanshanlu
24,https://xm.lianjia.com/ershoufang/qixinglu/,七星路,qixinglu
25,https://xm.lianjia.com/ershoufang/qianpu/,前埔,qianpu
26,https://xm.lianjia.com/ershoufang/ruanjianyuan1/,软件园,ruanjianyuan1
27,https://xm.lianjia.com/ershoufang/ruijing/,瑞景,ruijing
28,https://xm.lianjia.com/ershoufang/sibei/,思北,sibei
29,https://xm.lianjia.com/ershoufang/simingnanlu/,思明南路,simingnanlu
30,https://xm.lianjia.com/ershoufang/shiyanxiaoxuejizhoubian/,实验小学及周边,shiyanxiaoxuejizhoubian
31,https://xm.lianjia.com/ershoufang/songbai/,松柏,songbai
32,https://xm.lianjia.com/ershoufang/shizhengfu2/,市政府,shizhengfu2
33,https://xm.lianjia.com/ershoufang/shada/,厦大,shada
34,https://xm.lianjia.com/ershoufang/sm/,SM,sm
35,https://xm.lianjia.com/ershoufang/tiyuzhongxin1/,体育中心,tiyuzhongxin1
36,https://xm.lianjia.com/ershoufang/waiguoyuxuexiao/,外国语学校,waiguoyuxuexiao
37,https://xm.lianjia.com/ershoufang/wenyuanlu/,文园路,wenyuanlu
38,https://xm.lianjia.com/ershoufang/wenzao/,文灶,wenzao
39,https://xm.lianjia.com/ershoufang/xianyueshequ/,仙岳社区,xianyueshequ
40,https://xm.lianjia.com/ershoufang/yueyangshequ/,岳阳社区,yueyangshequ
41,https://xm.lianjia.com/ershoufang/youluncheng/,邮轮城,youluncheng
42,https://xm.lianjia.com/ershoufang/zhongshanlu/,中山路,zhongshanlu
43,https://xm.lianjia.com/ershoufang/baoshuiqu/,保税区,baoshuiqu
44,https://xm.lianjia.com/ershoufang/dongdu/,东渡,dongdu
45,https://xm.lianjia.com/ershoufang/dianqian/,殿前,dianqian
46,https://xm.lianjia.com/ershoufang/datangshijia/,大唐世家,datangshijia
47,https://xm.lianjia.com/ershoufang/fanghu/,枋湖,fanghu
48,https://xm.lianjia.com/ershoufang/guanyinshan/,观音山,guanyinshan
49,https://xm.lianjia.com/ershoufang/hulidadao/,湖里大道,hulidadao
50,https://xm.lianjia.com/ershoufang/hubianshuiku/,湖边水库,hubianshuiku
51,https://xm.lianjia.com/ershoufang/jinshang/,金尚,jinshang
52,https://xm.lianjia.com/ershoufang/jichangqu/,机场区,jichangqu
53,https://xm.lianjia.com/ershoufang/jiangtou/,江头,jiangtou
54,https://xm.lianjia.com/ershoufang/jinshan3/,金山,jinshan3
55,https://xm.lianjia.com/ershoufang/lianqian/,莲前,lianqian
56,https://xm.lianjia.com/ershoufang/lianhua4/,莲花,lianhua4
57,https://xm.lianjia.com/ershoufang/nanshanlu/,南山路,nanshanlu
58,https://xm.lianjia.com/ershoufang/ruanjianyuan1/,软件园,ruanjianyuan1
59,https://xm.lianjia.com/ershoufang/ruijing/,瑞景,ruijing
60,https://xm.lianjia.com/ershoufang/sm/,SM,sm
61,https://xm.lianjia.com/ershoufang/wandaguangchang/,万达广场,wandaguangchang
62,https://xm.lianjia.com/ershoufang/wuyuanwan/,五缘湾,wuyuanwan
63,https://xm.lianjia.com/ershoufang/xiangdian/,祥店,xiangdian
64,https://xm.lianjia.com/ershoufang/youluncheng/,邮轮城,youluncheng
