,text,ershoufanglianjie,xiaoquyu
0,北蔡,https://sh.lianjia.com/xiaoqu/beicai/,beicai
1,碧云,https://sh.lianjia.com/xiaoqu/biyun/,biyun
2,曹路,https://sh.lianjia.com/xiaoqu/caolu/,caolu
3,川沙,https://sh.lianjia.com/xiaoqu/chuansha/,chuansha
4,大团镇,https://sh.lianjia.com/xiaoqu/datuanzhen/,datuanzhen
5,合庆,https://sh.lianjia.com/xiaoqu/geqing/,geqing
6,高行,https://sh.lianjia.com/xiaoqu/gaohang/,gaohang
7,高东,https://sh.lianjia.com/xiaoqu/gaodong/,gaodong
8,花木,https://sh.lianjia.com/xiaoqu/huamu/,huamu
9,航头,https://sh.lianjia.com/xiaoqu/hangtou/,hangtou
10,惠南,https://sh.lianjia.com/xiaoqu/huinan/,huinan
11,金桥,https://sh.lianjia.com/xiaoqu/jinqiao/,jinqiao
12,金杨,https://sh.lianjia.com/xiaoqu/jinyang/,jinyang
13,康桥,https://sh.lianjia.com/xiaoqu/kangqiao/,kangqiao
14,陆家嘴,https://sh.lianjia.com/xiaoqu/lujiazui/,lujiazui
15,老港镇,https://sh.lianjia.com/xiaoqu/laogangzhen/,laogangzhen
16,临港新城,https://sh.lianjia.com/xiaoqu/lingangxincheng/,lingangxincheng
17,联洋,https://sh.lianjia.com/xiaoqu/lianyang/,lianyang
18,泥城镇,https://sh.lianjia.com/xiaoqu/nichengzhen/,nichengzhen
19,南码头,https://sh.lianjia.com/xiaoqu/nanmatou/,nanmatou
20,三林,https://sh.lianjia.com/xiaoqu/sanlin/,sanlin
21,世博,https://sh.lianjia.com/xiaoqu/shibo/,shibo
22,书院镇,https://sh.lianjia.com/xiaoqu/shuyuanzhen/,shuyuanzhen
23,塘桥,https://sh.lianjia.com/xiaoqu/tangqiao/,tangqiao
24,唐镇,https://sh.lianjia.com/xiaoqu/tangzhen/,tangzhen
25,外高桥,https://sh.lianjia.com/xiaoqu/waigaoqiao/,waigaoqiao
26,万祥镇,https://sh.lianjia.com/xiaoqu/wanxiangzhen/,wanxiangzhen
27,潍坊,https://sh.lianjia.com/xiaoqu/weifang/,weifang
28,宣桥,https://sh.lianjia.com/xiaoqu/xuanqiao/,xuanqiao
29,新场,https://sh.lianjia.com/xiaoqu/xinchang/,xinchang
30,御桥,https://sh.lianjia.com/xiaoqu/yuqiao1/,yuqiao1
31,杨东,https://sh.lianjia.com/xiaoqu/yangdong/,yangdong
32,源深,https://sh.lianjia.com/xiaoqu/yuanshen/,yuanshen
33,洋泾,https://sh.lianjia.com/xiaoqu/yangjing/,yangjing
34,张江,https://sh.lianjia.com/xiaoqu/zhangjiang/,zhangjiang
35,祝桥,https://sh.lianjia.com/xiaoqu/zhuqiao/,zhuqiao
36,周浦,https://sh.lianjia.com/xiaoqu/zhoupu/,zhoupu
37,春申,https://sh.lianjia.com/xiaoqu/chunshen/,chunshen
38,古美,https://sh.lianjia.com/xiaoqu/gumei/,gumei
39,航华,https://sh.lianjia.com/xiaoqu/hanghua/,hanghua
40,华漕,https://sh.lianjia.com/xiaoqu/huacao/,huacao
41,金汇,https://sh.lianjia.com/xiaoqu/jinhui/,jinhui
42,静安新城,https://sh.lianjia.com/xiaoqu/jinganxincheng/,jinganxincheng
43,金虹桥,https://sh.lianjia.com/xiaoqu/jinhongqiao/,jinhongqiao
44,龙柏,https://sh.lianjia.com/xiaoqu/longbai/,longbai
45,老闵行,https://sh.lianjia.com/xiaoqu/laominhang/,laominhang
46,马桥,https://sh.lianjia.com/xiaoqu/maqiao/,maqiao
47,梅陇,https://sh.lianjia.com/xiaoqu/meilong/,meilong
48,浦江,https://sh.lianjia.com/xiaoqu/pujiang1/,pujiang1
49,七宝,https://sh.lianjia.com/xiaoqu/qibao/,qibao
50,吴泾,https://sh.lianjia.com/xiaoqu/wujing/,wujing
51,莘庄,https://sh.lianjia.com/xiaoqu/xinzhuang5/,xinzhuang5
52,颛桥,https://sh.lianjia.com/xiaoqu/zhuanqiao/,zhuanqiao
53,大华,https://sh.lianjia.com/xiaoqu/dahua/,dahua
54,大场镇,https://sh.lianjia.com/xiaoqu/dachangzhen/,dachangzhen
55,共富,https://sh.lianjia.com/xiaoqu/gongfu/,gongfu
56,共康,https://sh.lianjia.com/xiaoqu/gongkang/,gongkang
57,顾村,https://sh.lianjia.com/xiaoqu/gucun/,gucun
58,高境,https://sh.lianjia.com/xiaoqu/gaojing/,gaojing
59,罗泾,https://sh.lianjia.com/xiaoqu/luojing/,luojing
60,罗店,https://sh.lianjia.com/xiaoqu/luodian/,luodian
61,淞宝,https://sh.lianjia.com/xiaoqu/songbao/,songbao
62,淞南,https://sh.lianjia.com/xiaoqu/songnan/,songnan
63,上大,https://sh.lianjia.com/xiaoqu/shangda/,shangda
64,通河,https://sh.lianjia.com/xiaoqu/tonghe/,tonghe
