,ershoufanglianjie,text,xiaoquyu
0,http://hz.lianjia.com/ershoufang/xihu/cuiyuan/,翠苑,cuiyuan
1,http://hz.lianjia.com/ershoufang/xihu/gudang/,古荡,gudang
2,http://hz.lianjia.com/ershoufang/xihu/huanglong/,黄龙,huanglong
3,http://hz.lianjia.com/ershoufang/xihu/jialv/,嘉绿,jialv
4,http://hz.lianjia.com/ershoufang/xihu/jiulian/,九莲,jiulian
5,http://hz.lianjia.com/ershoufang/xihu/liuxia1/,留下,liuxia1
6,http://hz.lianjia.com/ershoufang/xihu/liangzhu/,良渚,liangzhu
7,http://hz.lianjia.com/ershoufang/xihu/qingbo/,清波,qingbo
8,http://hz.lianjia.com/ershoufang/xihu/sandun/,三墩,sandun
9,http://hz.lianjia.com/ershoufang/xihu/shenhua/,申花,shenhua
10,http://hz.lianjia.com/ershoufang/xihu/wensan/,文三,wensan
11,http://hz.lianjia.com/ershoufang/xihu/wensanxilu/,文三西路,wensanxilu
12,http://hz.lianjia.com/ershoufang/xihu/wenyixilu/,文一西路,wenyixilu
13,http://hz.lianjia.com/ershoufang/xihu/wenjiao/,文教,wenjiao
14,http://hz.lianjia.com/ershoufang/xihu/xihujingqu/,西湖景区,xihujingqu
15,http://hz.lianjia.com/ershoufang/xihu/xuejun/,学军,xuejun
16,http://hz.lianjia.com/ershoufang/xihu/xiaoheshan/,小和山,xiaoheshan
17,http://hz.lianjia.com/ershoufang/xihu/xixi/,西溪,xixi
18,http://hz.lianjia.com/ershoufang/xihu/zhuantang/,转塘,zhuantang
19,http://hz.lianjia.com/ershoufang/xihu/zhijiang/,之江,zhijiang
20,http://hz.lianjia.com/ershoufang/xiacheng/banshan/,半山,banshan
21,http://hz.lianjia.com/ershoufang/xiacheng/changqing1112/,长庆,changqing1112
22,http://hz.lianjia.com/ershoufang/xiacheng/chaohui/,朝晖,chaohui
23,http://hz.lianjia.com/ershoufang/xiacheng/chaoming11/,潮鸣,chaoming11
24,http://hz.lianjia.com/ershoufang/xiacheng/deshengdong/,德胜东,deshengdong
25,http://hz.lianjia.com/ershoufang/xiacheng/heping2/,和平,heping2
26,http://hz.lianjia.com/ershoufang/xiacheng/huanglong/,黄龙,huanglong
27,http://hz.lianjia.com/ershoufang/xiacheng/jianguobeilu/,建国北路,jianguobeilu
28,http://hz.lianjia.com/ershoufang/xiacheng/liushuiyuan/,流水苑,liushuiyuan
29,http://hz.lianjia.com/ershoufang/xiacheng/shiqiao/,石桥,shiqiao
30,http://hz.lianjia.com/ershoufang/xiacheng/sanliting/,三里亭,sanliting
31,http://hz.lianjia.com/ershoufang/xiacheng/sichoucheng1/,丝绸城,sichoucheng1
32,http://hz.lianjia.com/ershoufang/xiacheng/santang/,三塘,santang
33,http://hz.lianjia.com/ershoufang/xiacheng/tiyuchanglu/,体育场路,tiyuchanglu
34,http://hz.lianjia.com/ershoufang/xiacheng/tianshui1/,天水,tianshui1
35,http://hz.lianjia.com/ershoufang/xiacheng/wulin11/,武林,wulin11
36,http://hz.lianjia.com/ershoufang/xiacheng/xihujingqu/,西湖景区,xihujingqu
37,http://hz.lianjia.com/ershoufang/xiacheng/zhonganqiao/,众安桥,zhonganqiao
38,http://hz.lianjia.com/ershoufang/jianggan/banshan/,半山,banshan
39,http://hz.lianjia.com/ershoufang/jianggan/caihe1/,采荷,caihe1
40,http://hz.lianjia.com/ershoufang/jianggan/chengdongxincheng/,城东新城,chengdongxincheng
41,http://hz.lianjia.com/ershoufang/jianggan/dingqiao/,丁桥,dingqiao
42,http://hz.lianjia.com/ershoufang/jianggan/daxuechengbei/,大学城北,daxuechengbei
43,http://hz.lianjia.com/ershoufang/jianggan/gaojiaoyuanqudong/,高教园区东,gaojiaoyuanqudong
44,http://hz.lianjia.com/ershoufang/jianggan/gaojiaoyuanquxi/,高教园区西,gaojiaoyuanquxi
45,http://hz.lianjia.com/ershoufang/jianggan/gongyeyuannan/,工业园南,gongyeyuannan
46,http://hz.lianjia.com/ershoufang/jianggan/huajiachi/,华家池,huajiachi
47,http://hz.lianjia.com/ershoufang/jianggan/huochedongzhan/,火车东站,huochedongzhan
48,http://hz.lianjia.com/ershoufang/jianggan/jianguobeilu/,建国北路,jianguobeilu
49,http://hz.lianjia.com/ershoufang/jianggan/jianqiao/,笕桥,jianqiao
50,http://hz.lianjia.com/ershoufang/jianggan/jingfang1/,景芳,jingfang1
51,http://hz.lianjia.com/ershoufang/jianggan/jinshahu/,金沙湖,jinshahu
52,http://hz.lianjia.com/ershoufang/jianggan/jiubao/,九堡,jiubao
53,http://hz.lianjia.com/ershoufang/jianggan/liushuiyuan/,流水苑,liushuiyuan
