,ershoufanglianjie,text,xiaoquyu
0,https://cs.lianjia.com/ershoufang/chigangchong/,赤岗冲,chigangchong
1,https://cs.lianjia.com/ershoufang/dongtang/,东塘,dongtang
2,https://cs.lianjia.com/ershoufang/desiqin/,德思勤,desiqin
3,https://cs.lianjia.com/ershoufang/guihuacun/,桂花村,guihuacun
4,https://cs.lianjia.com/ershoufang/gaoqiao/,高桥,gaoqiao
5,https://cs.lianjia.com/ershoufang/houjiatang/,候家塘,houjiatang
6,https://cs.lianjia.com/ershoufang/huangtuling/,黄土岭,huangtuling
7,https://cs.lianjia.com/ershoufang/jinpenling/,金盆岭,jinpenling
8,https://cs.lianjia.com/ershoufang/jingwanzi/,井湾子,jingwanzi
9,https://cs.lianjia.com/ershoufang/muyun/,暮云,muyun
10,https://cs.lianjia.com/ershoufang/qichenanzhan/,汽车南站,qichenanzhan
11,https://cs.lianjia.com/ershoufang/shumuling/,树木岭,shumuling
12,https://cs.lianjia.com/ershoufang/shaoshannanlu/,韶山南路,shaoshannanlu
13,https://cs.lianjia.com/ershoufang/shangdong/,尚东,shangdong
14,https://cs.lianjia.com/ershoufang/tiedaoxueyuan/,铁道学院,tiedaoxueyuan
15,https://cs.lianjia.com/ershoufang/tiaoma/,跳马,tiaoma
16,https://cs.lianjia.com/ershoufang/wuguangxin/,武广新城,wuguangxin
17,https://cs.lianjia.com/ershoufang/wuguangxin1/,武广新,wuguangxin1
18,https://cs.lianjia.com/ershoufang/wanjialinanlu/,万家丽南路,wanjialinanlu
19,https://cs.lianjia.com/ershoufang/xiyingmen/,喜盈门,xiyingmen
20,https://cs.lianjia.com/ershoufang/xiangfulu/,湘府路,xiangfulu
21,https://cs.lianjia.com/ershoufang/yuhuating/,雨花亭,yuhuating
22,https://cs.lianjia.com/ershoufang/yaoling/,窑岭,yaoling
23,https://cs.lianjia.com/ershoufang/zuojiatang/,左家塘,zuojiatang
24,https://cs.lianjia.com/ershoufang/binjiangxincheng/,滨江新城,binjiangxincheng
25,https://cs.lianjia.com/ershoufang/dongfanghong/,东方红,dongfanghong
26,https://cs.lianjia.com/ershoufang/fenglinsanlu/,枫林三路,fenglinsanlu
27,https://cs.lianjia.com/ershoufang/guanshaling/,观沙岭,guanshaling
28,https://cs.lianjia.com/ershoufang/hanpu/,含浦,hanpu
29,https://cs.lianjia.com/ershoufang/hexibubugao/,河西步步高,hexibubugao
30,https://cs.lianjia.com/ershoufang/hexirenrenle/,河西人人乐,hexirenrenle
31,https://cs.lianjia.com/ershoufang/hexidaxuecheng/,河西大学城,hexidaxuecheng
32,https://cs.lianjia.com/ershoufang/jinxingzhonglu/,金星中路,jinxingzhonglu
33,https://cs.lianjia.com/ershoufang/lugudong/,麓谷东,lugudong
34,https://cs.lianjia.com/ershoufang/luguxi/,麓谷西,luguxi
35,https://cs.lianjia.com/ershoufang/leifengdadao/,雷锋大道,leifengdadao
36,https://cs.lianjia.com/ershoufang/leifengzhen/,雷锋镇,leifengzhen
37,https://cs.lianjia.com/ershoufang/meixihunanan/,梅溪湖南岸,meixihunanan
38,https://cs.lianjia.com/ershoufang/meixihubeian/,梅溪湖北岸,meixihubeian
39,https://cs.lianjia.com/ershoufang/qichexizhan/,汽车西站,qichexizhan
40,https://cs.lianjia.com/ershoufang/rongwanzhen/,溁湾镇,rongwanzhen
41,https://cs.lianjia.com/ershoufang/shangxueyuan/,商学院,shangxueyuan
42,https://cs.lianjia.com/ershoufang/shizhengfu/,市政府,shizhengfu
43,https://cs.lianjia.com/ershoufang/tongzipo/,桐梓坡,tongzipo
44,https://cs.lianjia.com/ershoufang/wangjiawan1/,王家湾,wangjiawan1
45,https://cs.lianjia.com/ershoufang/yanghuyuan/,洋湖垸,yanghuyuan
46,https://cs.lianjia.com/ershoufang/yangguang100/,阳光100,yangguang100
47,https://cs.lianjia.com/ershoufang/yueluqita/,岳麓其他,yueluqita
48,https://cs.lianjia.com/ershoufang/yinpenling/,银盆岭,yinpenling
49,https://cs.lianjia.com/ershoufang/yuelushanbei/,岳麓山北,yuelushanbei
50,https://cs.lianjia.com/ershoufang/dongtang/,东塘,dongtang
51,https://cs.lianjia.com/ershoufang/desiqin/,德思勤,desiqin
52,https://cs.lianjia.com/ershoufang/huangtuling/,黄土岭,huangtuling
53,https://cs.lianjia.com/ershoufang/jinpenling/,金盆岭,jinpenling
54,https://cs.lianjia.com/ershoufang/muyun/,暮云,muyun
55,https://cs.lianjia.com/ershoufang/nanjiaogongyuan/,南郊公园,nanjiaogongyuan
56,https://cs.lianjia.com/ershoufang/qichenanzhan/,汽车南站,qichenanzhan
57,https://cs.lianjia.com/ershoufang/shuyuanlu1/,书院路,shuyuanlu1
58,https://cs.lianjia.com/ershoufang/shengzhengfu/,省政府,shengzhengfu
59,https://cs.lianjia.com/ershoufang/tiedaoxueyuan/,铁道学院,tiedaoxueyuan
