,ershoufanglianjie,text,xiaoquyu
0,https://xa.lianjia.com/ershoufang/chengdong1/,城东,chengdong1
1,https://xa.lianjia.com/ershoufang/chengxi1/,城西,chengxi1
2,https://xa.lianjia.com/ershoufang/chengnan2/,城南,chengnan2
3,https://xa.lianjia.com/ershoufang/chengnei1/,城内,chengnei1
4,https://xa.lianjia.com/ershoufang/gaoxin5/,高新,gaoxin5
5,https://xa.lianjia.com/ershoufang/qujiang1/,曲江,qujiang1
6,https://xa.lianjia.com/ershoufang/chengxi1/,城西,chengxi1
7,https://xa.lianjia.com/ershoufang/chengbei1/,城北,chengbei1
8,https://xa.lianjia.com/ershoufang/chanba1/,浐灞,chanba1
9,https://xa.lianjia.com/ershoufang/jingkai1/,经开,jingkai1
10,https://xa.lianjia.com/ershoufang/xixian1/,西咸,xixian1
11,https://xa.lianjia.com/ershoufang/chengdong1/,城东,chengdong1
12,https://xa.lianjia.com/ershoufang/chanba1/,浐灞,chanba1
13,https://xa.lianjia.com/ershoufang/gaoling/,高陵,gaoling
14,https://xa.lianjia.com/ershoufang/lantian1/,蓝田,lantian1
15,https://xa.lianjia.com/ershoufang/chengdong1/,城东,chengdong1
16,https://xa.lianjia.com/ershoufang/chengbei1/,城北,chengbei1
17,https://xa.lianjia.com/ershoufang/chanba1/,浐灞,chanba1
18,https://xa.lianjia.com/ershoufang/chengnei1/,城内,chengnei1
19,https://xa.lianjia.com/ershoufang/lintong1/,临潼,lintong1
20,https://xa.lianjia.com/ershoufang/yanliang1/,阎良,yanliang1
21,https://xa.lianjia.com/ershoufang/chengxi1/,城西,chengxi1
22,https://xa.lianjia.com/ershoufang/changan2/,长安,changan2
23,https://xa.lianjia.com/ershoufang/gaoxin5/,高新,gaoxin5
24,https://xa.lianjia.com/ershoufang/huxian1/,户县,huxian1
25,https://xa.lianjia.com/ershoufang/lantian1/,蓝田,lantian1
26,https://xa.lianjia.com/ershoufang/qujiang1/,曲江,qujiang1
27,https://xa.lianjia.com/ershoufang/xixian1/,西咸,xixian1
28,https://xa.lianjia.com/ershoufang/chengxi1/,城西,chengxi1
29,https://xa.lianjia.com/ershoufang/chengnan2/,城南,chengnan2
30,https://xa.lianjia.com/ershoufang/chengbei1/,城北,chengbei1
31,https://xa.lianjia.com/ershoufang/chengnei1/,城内,chengnei1
32,https://xa.lianjia.com/ershoufang/gaoxin5/,高新,gaoxin5
33,https://xa.lianjia.com/ershoufang/chengdong1/,城东,chengdong1
34,https://xa.lianjia.com/ershoufang/chengxi1/,城西,chengxi1
35,https://xa.lianjia.com/ershoufang/chengnan2/,城南,chengnan2
36,https://xa.lianjia.com/ershoufang/chanba1/,浐灞,chanba1
37,https://xa.lianjia.com/ershoufang/changan2/,长安,changan2
38,https://xa.lianjia.com/ershoufang/gaoxin5/,高新,gaoxin5
39,https://xa.lianjia.com/ershoufang/qujiang1/,曲江,qujiang1
40,https://xa.lianjia.com/ershoufang/xixian1/,西咸,xixian1
41,https://xa.lianjia.com/ershoufang/chanba1/,浐灞,chanba1
42,https://xa.lianjia.com/ershoufang/changan2/,长安,changan2
43,https://xa.lianjia.com/ershoufang/lantian1/,蓝田,lantian1
44,https://xa.lianjia.com/ershoufang/lintong1/,临潼,lintong1
45,https://xa.lianjia.com/ershoufang/changan2/,长安,changan2
46,https://xa.lianjia.com/ershoufang/huxian1/,户县,huxian1
47,https://xa.lianjia.com/ershoufang/xixian1/,西咸,xixian1
48,https://xa.lianjia.com/ershoufang/zhouzhi1/,周至,zhouzhi1
49,https://xa.lianjia.com/ershoufang/zhouzhi1/,周至,zhouzhi1
50,https://xa.lianjia.com/ershoufang/gaoling/,高陵,gaoling
51,https://xa.lianjia.com/ershoufang/xixian1/,西咸,xixian1
52,https://xa.lianjia.com/ershoufang/jingkai1/,经开,jingkai1
53,https://xa.lianjia.com/ershoufang/xixian1/,西咸,xixian1
